,id,sentence,Arousal,Dominance,Valence,sd.Arousal,sd.Dominance,sd.Valence,freq,reg,words
0,Acephalous-Cant-believe_4_47,I can't believe I wrote all that last year.,3.4,3.2,3.0,0.8,0.4,0.0,5,i can't believe i wrote all that last year ,10
1,Acephalous-Cant-believe_83_354,"Because I've been grading all damn day and am as tired as a Swearengen of hearing other about the finished semesters of pretty much every other academic blogger, I thought that it might be best to avoid jealously lashing out and scribble a ""Best of Acephalous 2009"" post.",3.2,3.2,2.8,0.4,0.4,0.4,5,"because i've been grading all damn day and am as tired as a swearengen of hearing other about the finished semesters of pretty much every other academic blogger  i thought that it might be best to avoid jealously lashing out and scribble a ""best of acephalous 0"" post ",51
2,Acephalous-Cant-believe_355_499,"However, when I started looking through my archives, it occurred to me that my output this year defines me much more sharply than in years past.",3.0,3.2,3.4,0.0,0.4,0.489897948556636,5,however  when i started looking through my archives  it occurred to me that my output this year defines me much more sharply than in years past ,26
3,Acephalous-Cant-believe_500_515,What do I mean?,3.0,3.0,3.0,0.0,0.0,0.0,5,what do i mean?,5
4,Acephalous-Cant-believe_517_626,The posts I consider foundational to my current professional identity all seem to have been composed in 2009.,3.0,3.0,3.0,0.0,0.0,0.0,5,the posts i consider foundational to my current professional identity all seem to have been composed in 0 ,18
5,Acephalous-Cant-believe_627_817,"Granted, the likelihood that I'm suffering from the identitarian equivalent of presentism is awfully high, but I honestly thought I'd written some of the posts from early 2009 in 2006 or so.",2.6666666666666696,2.8333333333333304,3.0,0.471404520791032,0.37267799624996506,0.0,6,granted  the likelihood that i'm suffering from the identitarian equivalent of presentism is awfully high  but i honestly thought i'd written some of the posts from early 0 in 0 or so ,34
6,Acephalous-Cant-believe_819_984,"It may also be that I remember the scene of their writing, which would have been in the old apartment, i.e. the place I barely remember ever having lived in anymore.",3.0,3.0,3.0,0.0,0.0,0.0,5,it may also be that i remember the scene of their writing  which would have been in the old apartment  i e  the place i barely remember ever having lived in anymore ,32
7,Acephalous-Cant-believe_986_1160,"If you have absolutely nothing better to do on a Friday night, feel free to scan through my 2009 archives and tell me what you think should be included in the ""Best of"" post.",3.0,3.2,3.0,0.0,0.4,0.0,5,"if you have absolutely nothing better to do on a friday night  feel free to scan through my 0 archives and tell me what you think should be included in the ""best of"" post ",36
8,Acephalous-Cant-believe_1162_1229,"If you do have something better to do, though, by all means do it .",3.0,3.2,2.8,0.0,0.748331477354788,0.4,5,if you do have something better to do  though  by all means do it  ,14
9,Acephalous-Cant-believe_1266_1336,Why is someone so young not having fun with friends on a Friday night.,3.0,2.8,2.6,0.0,0.4,0.489897948556636,5,why is someone so young not having fun with friends on a friday night ,14
10,Acephalous-Cant-believe_1337_1409,"Granted grading papers is important, but no fun makes for a boring life.",2.6,3.2,2.8,0.489897948556636,0.748331477354788,0.748331477354788,5,granted grading papers is important  but no fun makes for a boring life ,13
11,Acephalous-Cant-believe_1410_1424,I should know.,3.0,3.0,3.0,0.0,0.0,0.0,5,i should know ,3
12,Acephalous-Cant-believe_1426_1520,"since, when I was your age I had fun playing with my adorable son and caring for another baby.",3.2,3.2,3.4,0.4,0.4,0.489897948556636,5,since  when i was your age i had fun playing with my adorable son and caring for another baby ,19
13,Acephalous-Cant-believe_1521_1574,You need to try to have a life outside your computer.,2.8,3.4,3.0,0.4,0.489897948556636,0.0,5,you need to try to have a life outside your computer ,11
14,Acephalous-Cant-believe_1575_1667,Just saying....it seems I have more life now then you have and we know how little I get out!,2.8,3.2,2.6,0.4,0.4,0.8,5,just saying    it seems i have more life now then you have and we know how little i get out ,20
15,Acephalous-Cant-believe_1726_1817,The one that really stuck in my mind was explaining transitions in the panels of Watchmen .,3.2,3.2,3.2,0.4,0.4,0.4,5,the one that really stuck in my mind was explaining transitions in the panels of watchmen  ,16
16,Acephalous-Cant-believe_1818_2022,"I'd read Watchmen a short while before and appreciated its narrative complexity, but not being used to reading comics, hadn't registered all the technical tricks that the artist was using to achieve this.",3.2,3.2,3.2,0.4,0.4,0.4,5,i'd read watchmen a short while before and appreciated its narrative complexity  but not being used to reading comics  hadn't registered all the technical tricks that the artist was using to achieve this ,35
17,Acephalous-Cant-believe_2023_2191,"The post not only taught me something about the grammar of such images, but more importantly led to me realising that there is a grammar to look for in the first place.",3.2,3.4,3.2,0.4,0.489897948556636,0.4,5,the post not only taught me something about the grammar of such images  but more importantly led to me realising that there is a grammar to look for in the first place ,32
18,Acephalous-Cant-believe_2192_2221,So thanks a lot for that one.,3.2,3.0,3.2,0.4,0.0,0.748331477354788,5,so thanks a lot for that one ,7
19,Acephalous-Cant-believe_2281_2572,"SEK, I started going through your back posts and noticed a pattern in my selections, so I think it would be easier (for me, because I'm rubbish with html) to just say all the scene analysis posts and the close reading comics posts, like the one Magistra mentioned and many others after that.",3.0,3.2,3.2,0.0,0.4,0.4,5,sek  i started going through your back posts and noticed a pattern in my selections  so i think it would be easier (for me  because i'm rubbish with html) to just say all the scene analysis posts and the close reading comics posts  like the one magistra mentioned and many others after that ,56
20,Acephalous-Cant-believe_2573_2641,Plus Justifying Comics as a Legitimate Object of Study Parts I & II.,3.0,3.0,3.0,0.0,0.0,0.0,5,plus justifying comics as a legitimate object of study parts i & ii ,13
21,Acephalous-Cant-believe_2642_2690,"I also liked ""Teaching the Overdetermined Image.",3.0,3.0,3.4,0.0,0.0,0.489897948556636,5,"i also liked ""teaching the overdetermined image ",8
22,Acephalous-Cant-believe_2692_2836,"Your takedown of Cashill and the whole Ayers-wrote-Dreams was excellent, and the Cruel_cruel_death post (you know what I'm talking about, right?",3.0,3.2,3.0,0.0,0.4,0.0,5,your takedown of cashill and the whole ayers-wrote-dreams was excellent  and the cruel_cruel_death post (you know what i'm talking about  right?,24
23,Acephalous-Cant-believe_2840_2928,"Also, The Day in Actual Communist and Real Nazi History seems as relevant today as ever.",3.2,3.2,2.8,0.4,0.4,0.4,5,also  the day in actual communist and real nazi history seems as relevant today as ever ,16
24,Acephalous-Cant-believe_2985_3022,Agree with the previous two comments.,2.57142857142857,2.57142857142857,3.0,0.7284313590846841,0.7284313590846841,0.0,7,agree with the previous two comments ,6
25,Acephalous-Cant-believe_3023_3152,"I don't remember if you've made noises here before about turning these into a book, but if you do you've got at least one reader.",3.2,2.8,3.2,0.4,0.4,0.4,5,i don't remember if you've made noises here before about turning these into a book  but if you do you've got at least one reader ,28
26,Acephalous-Cant-believe_3215_3283,What happened to your post that appeared in my RSS reader yesterday?,3.0,3.0,3.0,0.0,0.0,0.0,5,what happened to your post that appeared in my rss reader yesterday?,13
27,Acephalous-Cant-believe_3342_3496,"Would it be possible to arrange your posts into three 'parties', and give your many readers the opportunity to 'vote' for one of them, by 'secret ballot'?",3.0,3.2,3.0,0.0,0.4,0.0,5,would it be possible to arrange your posts into three 'parties'  and give your many readers the opportunity to 'vote' for one of them  by 'secret ballot'?,31
28,Acephalous-Cant-believe_3497_3547,I feel your British readers would appreciate that.,3.2,3.2,3.4,0.4,0.4,0.489897948556636,5,i feel your british readers would appreciate that ,8
29,Acephalous-Internet_29_105,The Internet occasionally reminds me of how different life is because of it.,3.0,3.2,2.8,0.0,0.4,0.4,5,the internet occasionally reminds me of how different life is because of it ,13
30,Acephalous-Internet_107_317,"I noted on Facebook that, from a statistical perspective, what makes baseball such an amazing sport is that you can watch it your entire life and still see, on a daily basis, something you’ve never seen before.",3.4,3.4,3.4,0.489897948556636,0.489897948556636,0.489897948556636,5,i noted on facebook that  from a statistical perspective  what makes baseball such an amazing sport is that you can watch it your entire life and still see  on a daily basis  something you’ve never seen before ,39
31,Acephalous-Internet_319_388,"It’s a truism, I know, but it has the benefit of actually being true.",2.3333333333333304,3.1666666666666696,3.0,0.942809041582063,0.37267799624996506,0.0,6,it’s a truism  i know  but it has the benefit of actually being true ,16
32,Acephalous-Internet_390_553,"In this case, the something in question was watching the wonderfully named Angel Pagan hit an inside-the-park home run and initiate a triple play in the same game.",3.4,3.0,3.4,0.8,0.0,0.8,5,in this case  the something in question was watching the wonderfully named angel pagan hit an inside-the-park home run and initiate a triple play in the same game ,28
33,Acephalous-Internet_554_745,"John Emerson responded with some humbug about it not being an inside-the-park grand slam, which made me remember that I had seen an inside-the-park grand slam at some time in the remote past.",2.8,3.4,2.8,0.4,0.8,0.4,5,john emerson responded with some humbug about it not being an inside-the-park grand slam  which made me remember that i had seen an inside-the-park grand slam at some time in the remote past ,33
34,Acephalous-Internet_746_1108,"I remember being six or seven years old and watching the Mets play the Cardinals in an afternoon game at Shea Stadium, and thanks to the miracle of the Internet, I can definitively say that at approximately 4:30 p.m. on 9 June 1985 , I watched Terry Pendleton hit an inside-the-park grand slam off Joe Sambito in a game the Cardinals would go on to win handily. ",3.4,3.0,3.4,0.8,0.0,0.8,5,i remember being six or seven years old and watching the mets play the cardinals in an afternoon game at shea stadium  and thanks to the miracle of the internet  i can definitively say that at approximately 0:0 p m  on 0 june 0   i watched terry pendleton hit an inside-the-park grand slam off joe sambito in a game the cardinals would go on to win handily  ,67
35,Acephalous-Internet_1108_1269,The fact that I can verify vague memories of events that occurred twenty-five years ago astounds me in a way I sometimes forget the Internet is capable of doing.,3.0,3.0,3.0,0.0,0.0,0.0,5,the fact that i can verify vague memories of events that occurred twenty-five years ago astounds me in a way i sometimes forget the internet is capable of doing ,29
36,Acephalous-Internet_1270_1472,"This realization is obviously not of world-historical importance, merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory.",3.0,3.0,3.0,0.0,0.0,0.0,5,this realization is obviously not of world-historical importance  merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory ,29
37,Acephalous-Internet_1473_1658,The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace .,3.0,3.0,3.0,0.0,0.0,0.0,5,the fact that at some point in the future i can know who i rode in an elevator with on 0 december 0 is less weird because i chose to write about riding in an elevator with grimace  ,38
