,Unnamed: 0,id,sentence,Arousal,Dominance,Valence,sd.Arousal,sd.Dominance,sd.Valence,freq,reg,words,Valence_predicted,Arousal_predicted,Dominance_predicted
0,0,Acephalous-Cant-believe_4_47,I can't believe I wrote all that last year.,3.4,3.2,3.0,0.8,0.4,0.0,5,i can't believe i wrote all that last year ,10,2.6812835,3.0477407,2.9780688
1,1,Acephalous-Cant-believe_83_354,"Because I've been grading all damn day and am as tired as a Swearengen of hearing other about the finished semesters of pretty much every other academic blogger, I thought that it might be best to avoid jealously lashing out and scribble a ""Best of Acephalous 2009"" post.",3.2,3.2,2.8,0.4,0.4,0.4,5,"because i've been grading all damn day and am as tired as a swearengen of hearing other about the finished semesters of pretty much every other academic blogger  i thought that it might be best to avoid jealously lashing out and scribble a ""best of acephalous 0"" post ",51,3.0386052,3.044772,3.072384
2,2,Acephalous-Cant-believe_355_499,"However, when I started looking through my archives, it occurred to me that my output this year defines me much more sharply than in years past.",3.0,3.2,3.4,0.0,0.4,0.489897948556636,5,however  when i started looking through my archives  it occurred to me that my output this year defines me much more sharply than in years past ,26,2.949015,3.0171306,3.0429163
3,3,Acephalous-Cant-believe_500_515,What do I mean?,3.0,3.0,3.0,0.0,0.0,0.0,5,what do i mean?,5,2.7791376,3.0311244,3.0025694
4,4,Acephalous-Cant-believe_517_626,The posts I consider foundational to my current professional identity all seem to have been composed in 2009.,3.0,3.0,3.0,0.0,0.0,0.0,5,the posts i consider foundational to my current professional identity all seem to have been composed in 0 ,18,2.9228559,3.0249224,3.0378823
5,5,Acephalous-Cant-believe_627_817,"Granted, the likelihood that I'm suffering from the identitarian equivalent of presentism is awfully high, but I honestly thought I'd written some of the posts from early 2009 in 2006 or so.",2.6666666666666696,2.8333333333333304,3.0,0.471404520791032,0.37267799624996506,0.0,6,granted  the likelihood that i'm suffering from the identitarian equivalent of presentism is awfully high  but i honestly thought i'd written some of the posts from early 0 in 0 or so ,34,2.6718414,3.0840895,2.9785495
6,6,Acephalous-Cant-believe_819_984,"It may also be that I remember the scene of their writing, which would have been in the old apartment, i.e. the place I barely remember ever having lived in anymore.",3.0,3.0,3.0,0.0,0.0,0.0,5,it may also be that i remember the scene of their writing  which would have been in the old apartment  i e  the place i barely remember ever having lived in anymore ,32,2.8596914,3.0915637,3.033214
7,7,Acephalous-Cant-believe_986_1160,"If you have absolutely nothing better to do on a Friday night, feel free to scan through my 2009 archives and tell me what you think should be included in the ""Best of"" post.",3.0,3.2,3.0,0.0,0.4,0.0,5,"if you have absolutely nothing better to do on a friday night  feel free to scan through my 0 archives and tell me what you think should be included in the ""best of"" post ",36,3.1717215,3.049678,3.109189
8,8,Acephalous-Cant-believe_1162_1229,"If you do have something better to do, though, by all means do it .",3.0,3.2,2.8,0.0,0.748331477354788,0.4,5,if you do have something better to do  though  by all means do it  ,14,3.053498,3.0249686,3.0799437
9,9,Acephalous-Cant-believe_1266_1336,Why is someone so young not having fun with friends on a Friday night.,3.0,2.8,2.6,0.0,0.4,0.489897948556636,5,why is someone so young not having fun with friends on a friday night ,14,3.0681326,3.0183141,3.0763488
10,10,Acephalous-Cant-believe_1337_1409,"Granted grading papers is important, but no fun makes for a boring life.",2.6,3.2,2.8,0.489897948556636,0.748331477354788,0.748331477354788,5,granted grading papers is important  but no fun makes for a boring life ,13,3.0419366,3.0329905,3.0778265
11,11,Acephalous-Cant-believe_1410_1424,I should know.,3.0,3.0,3.0,0.0,0.0,0.0,5,i should know ,3,2.933315,3.0420835,3.0491295
12,12,Acephalous-Cant-believe_1426_1520,"since, when I was your age I had fun playing with my adorable son and caring for another baby.",3.2,3.2,3.4,0.4,0.4,0.489897948556636,5,since  when i was your age i had fun playing with my adorable son and caring for another baby ,19,3.014648,3.1400812,3.076152
13,13,Acephalous-Cant-believe_1521_1574,You need to try to have a life outside your computer.,2.8,3.4,3.0,0.4,0.489897948556636,0.0,5,you need to try to have a life outside your computer ,11,2.9353278,3.093292,3.0496354
14,14,Acephalous-Cant-believe_1575_1667,Just saying....it seems I have more life now then you have and we know how little I get out!,2.8,3.2,2.6,0.4,0.4,0.8,5,just saying    it seems i have more life now then you have and we know how little i get out ,20,3.0474324,3.0754128,3.0902278
15,15,Acephalous-Cant-believe_1726_1817,The one that really stuck in my mind was explaining transitions in the panels of Watchmen .,3.2,3.2,3.2,0.4,0.4,0.4,5,the one that really stuck in my mind was explaining transitions in the panels of watchmen  ,16,2.9860315,3.0573893,3.0691934
16,16,Acephalous-Cant-believe_1818_2022,"I'd read Watchmen a short while before and appreciated its narrative complexity, but not being used to reading comics, hadn't registered all the technical tricks that the artist was using to achieve this.",3.2,3.2,3.2,0.4,0.4,0.4,5,i'd read watchmen a short while before and appreciated its narrative complexity  but not being used to reading comics  hadn't registered all the technical tricks that the artist was using to achieve this ,35,2.9359424,3.0174127,3.0472262
17,17,Acephalous-Cant-believe_2023_2191,"The post not only taught me something about the grammar of such images, but more importantly led to me realising that there is a grammar to look for in the first place.",3.2,3.4,3.2,0.4,0.489897948556636,0.4,5,the post not only taught me something about the grammar of such images  but more importantly led to me realising that there is a grammar to look for in the first place ,32,3.084236,3.0238779,3.0880747
18,18,Acephalous-Cant-believe_2192_2221,So thanks a lot for that one.,3.2,3.0,3.2,0.4,0.0,0.748331477354788,5,so thanks a lot for that one ,7,3.0977411,3.0391083,3.094615
19,19,Acephalous-Cant-believe_2281_2572,"SEK, I started going through your back posts and noticed a pattern in my selections, so I think it would be easier (for me, because I'm rubbish with html) to just say all the scene analysis posts and the close reading comics posts, like the one Magistra mentioned and many others after that.",3.0,3.2,3.2,0.0,0.4,0.4,5,sek  i started going through your back posts and noticed a pattern in my selections  so i think it would be easier (for me  because i'm rubbish with html) to just say all the scene analysis posts and the close reading comics posts  like the one magistra mentioned and many others after that ,56,2.7730358,3.0714934,3.0062191
20,20,Acephalous-Cant-believe_2573_2641,Plus Justifying Comics as a Legitimate Object of Study Parts I & II.,3.0,3.0,3.0,0.0,0.0,0.0,5,plus justifying comics as a legitimate object of study parts i & ii ,13,3.118483,3.0268223,3.091599
21,21,Acephalous-Cant-believe_2642_2690,"I also liked ""Teaching the Overdetermined Image.",3.0,3.0,3.4,0.0,0.0,0.489897948556636,5,"i also liked ""teaching the overdetermined image ",8,3.1106215,2.9653506,3.0926342
22,22,Acephalous-Cant-believe_2692_2836,"Your takedown of Cashill and the whole Ayers-wrote-Dreams was excellent, and the Cruel_cruel_death post (you know what I'm talking about, right?",3.0,3.2,3.0,0.0,0.4,0.0,5,your takedown of cashill and the whole ayers-wrote-dreams was excellent  and the cruel_cruel_death post (you know what i'm talking about  right?,24,3.2105095,3.0540142,3.1266057
23,23,Acephalous-Cant-believe_2840_2928,"Also, The Day in Actual Communist and Real Nazi History seems as relevant today as ever.",3.2,3.2,2.8,0.4,0.4,0.4,5,also  the day in actual communist and real nazi history seems as relevant today as ever ,16,3.1767015,3.0836737,3.1180801
24,24,Acephalous-Cant-believe_2985_3022,Agree with the previous two comments.,2.57142857142857,2.57142857142857,3.0,0.7284313590846841,0.7284313590846841,0.0,7,agree with the previous two comments ,6,2.8776093,2.9709535,3.0231428
25,25,Acephalous-Cant-believe_3023_3152,"I don't remember if you've made noises here before about turning these into a book, but if you do you've got at least one reader.",3.2,2.8,3.2,0.4,0.4,0.4,5,i don't remember if you've made noises here before about turning these into a book  but if you do you've got at least one reader ,28,3.076082,3.116639,3.0914834
26,26,Acephalous-Cant-believe_3215_3283,What happened to your post that appeared in my RSS reader yesterday?,3.0,3.0,3.0,0.0,0.0,0.0,5,what happened to your post that appeared in my rss reader yesterday?,13,2.8054376,3.0911283,3.016898
27,27,Acephalous-Cant-believe_3342_3496,"Would it be possible to arrange your posts into three 'parties', and give your many readers the opportunity to 'vote' for one of them, by 'secret ballot'?",3.0,3.2,3.0,0.0,0.4,0.0,5,would it be possible to arrange your posts into three 'parties'  and give your many readers the opportunity to 'vote' for one of them  by 'secret ballot'?,31,3.0436175,3.0228977,3.0751424
28,28,Acephalous-Cant-believe_3497_3547,I feel your British readers would appreciate that.,3.2,3.2,3.4,0.4,0.4,0.489897948556636,5,i feel your british readers would appreciate that ,8,3.215866,3.054861,3.1278358
29,29,Acephalous-Internet_29_105,The Internet occasionally reminds me of how different life is because of it.,3.0,3.2,2.8,0.0,0.4,0.4,5,the internet occasionally reminds me of how different life is because of it ,13,2.835613,3.0117936,3.0173852
30,30,Acephalous-Internet_107_317,"I noted on Facebook that, from a statistical perspective, what makes baseball such an amazing sport is that you can watch it your entire life and still see, on a daily basis, something you’ve never seen before.",3.4,3.4,3.4,0.489897948556636,0.489897948556636,0.489897948556636,5,i noted on facebook that  from a statistical perspective  what makes baseball such an amazing sport is that you can watch it your entire life and still see  on a daily basis  something you’ve never seen before ,39,3.1281826,3.0798469,3.103719
31,31,Acephalous-Internet_319_388,"It’s a truism, I know, but it has the benefit of actually being true.",2.3333333333333304,3.1666666666666696,3.0,0.942809041582063,0.37267799624996506,0.0,6,it’s a truism  i know  but it has the benefit of actually being true ,16,3.0801563,3.0701756,3.0958464
32,32,Acephalous-Internet_390_553,"In this case, the something in question was watching the wonderfully named Angel Pagan hit an inside-the-park home run and initiate a triple play in the same game.",3.4,3.0,3.4,0.8,0.0,0.8,5,in this case  the something in question was watching the wonderfully named angel pagan hit an inside-the-park home run and initiate a triple play in the same game ,28,3.0648732,3.0351086,3.0909665
33,33,Acephalous-Internet_554_745,"John Emerson responded with some humbug about it not being an inside-the-park grand slam, which made me remember that I had seen an inside-the-park grand slam at some time in the remote past.",2.8,3.4,2.8,0.4,0.8,0.4,5,john emerson responded with some humbug about it not being an inside-the-park grand slam  which made me remember that i had seen an inside-the-park grand slam at some time in the remote past ,33,2.9177668,2.9985907,3.0314686
34,34,Acephalous-Internet_746_1108,"I remember being six or seven years old and watching the Mets play the Cardinals in an afternoon game at Shea Stadium, and thanks to the miracle of the Internet, I can definitively say that at approximately 4:30 p.m. on 9 June 1985 , I watched Terry Pendleton hit an inside-the-park grand slam off Joe Sambito in a game the Cardinals would go on to win handily. ",3.4,3.0,3.4,0.8,0.0,0.8,5,i remember being six or seven years old and watching the mets play the cardinals in an afternoon game at shea stadium  and thanks to the miracle of the internet  i can definitively say that at approximately 0:0 p m  on 0 june 0   i watched terry pendleton hit an inside-the-park grand slam off joe sambito in a game the cardinals would go on to win handily  ,67,3.3139613,3.0583746,3.1683776
35,35,Acephalous-Internet_1108_1269,The fact that I can verify vague memories of events that occurred twenty-five years ago astounds me in a way I sometimes forget the Internet is capable of doing.,3.0,3.0,3.0,0.0,0.0,0.0,5,the fact that i can verify vague memories of events that occurred twenty-five years ago astounds me in a way i sometimes forget the internet is capable of doing ,29,2.9895353,3.0343683,3.0608373
36,36,Acephalous-Internet_1270_1472,"This realization is obviously not of world-historical importance, merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory.",3.0,3.0,3.0,0.0,0.0,0.0,5,this realization is obviously not of world-historical importance  merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory ,29,3.0167305,3.0086703,3.0636504
37,37,Acephalous-Internet_1473_1658,The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace .,3.0,3.0,3.0,0.0,0.0,0.0,5,the fact that at some point in the future i can know who i rode in an elevator with on 0 december 0 is less weird because i chose to write about riding in an elevator with grimace  ,38,3.2176118,3.0418189,3.1438246
38,38,Acephalous-Internet_1659_1776,That I can access detailed information about events I have no right remembering in detail is another matter entirely.,3.4,3.2,3.4,0.489897948556636,0.4,0.489897948556636,5,that i can access detailed information about events i have no right remembering in detail is another matter entirely ,19,2.8645988,3.036595,3.0315943
39,39,Acephalous-Internet_1782_1794,Joe Sambito.,3.0,3.0,3.0,0.0,0.0,0.0,5,joe sambito ,2,2.8963082,3.0555518,3.04126
41,41,Acephalous-Internet_1800_1835,I'd completely forgotten about him.,2.8,3.4,2.8,0.4,0.8,0.4,5,i'd completely forgotten about him ,6,3.0412266,3.0327785,3.078317
42,42,Acephalous-Internet_1836_1911,I sometimes wish I could forget that Pendelton is the Braves hitting coach.,2.8,3.2,2.4,0.4,0.4,0.489897948556636,5,i sometimes wish i could forget that pendelton is the braves hitting coach ,13,3.1428683,3.0308936,3.1041098
43,43,Acephalous-Internet_1912_2036,Closest I came to that was watching Dale Murphy get tagged out at the plate on what would have been an inside-the-park slam.,3.0,3.0,3.0,0.0,0.0,0.0,5,closest i came to that was watching dale murphy get tagged out at the plate on what would have been an inside-the-park slam ,23,2.7983682,3.0345614,2.9969206
44,44,Acephalous-Internet_2095_2234,"He pitched for the Astros before he came to the Mets, stayed for '85, then he pitched for the Red Sox against the Mets in '86 World Series.",3.2,3.0,3.0,0.4,0.0,0.0,5,he pitched for the astros before he came to the mets  stayed for '0  then he pitched for the red sox against the mets in '0 world series ,28,2.9977963,3.065462,3.06858
45,45,Acephalous-Internet_2235_2298,"I remember him being ineffective, and as it turns out, he was .",3.0,3.0,2.8,0.0,0.0,0.4,5,i remember him being ineffective  and as it turns out  he was  ,12,2.6692724,3.019306,2.9797244
46,46,Acephalous-Internet_2299_2485,"Now that I remember him, which I didn't before, I remember him as being the pitcher who'd pitched for 1) the team the Mets faced to get to the '86 Series and 2) the one they faced in it.",3.0,3.0,3.0,0.0,0.0,0.0,5,now that i remember him  which i didn't before  i remember him as being the pitcher who'd pitched for 0) the team the mets faced to get to the '0 series and 0) the one they faced in it ,43,2.9881313,3.038975,3.0640075
47,47,Acephalous-Internet_2486_2550,"I didn't remember that I remember that, but now that I do, I do.",3.2,3.0,3.2,0.4,0.6324555320336761,0.4,5,i didn't remember that i remember that  but now that i do  i do ,15,2.5412278,3.1145093,2.9478042
48,48,Acephalous-Internet_2551_2597,"Memory, as Gertrude Stein would say, is funny.",3.0,2.8,3.4,0.0,0.4,0.489897948556636,5,memory  as gertrude stein would say  is funny ,8,3.050622,3.0886202,3.0794382
49,49,Acephalous-Internet_2652_2750,"Apparently the drug use, sexual excess, and weird UCI experiences haven't softened your brain yet.",3.2,3.2,2.8,0.4,0.4,0.4,5,apparently the drug use  sexual excess  and weird uci experiences haven't softened your brain yet ,16,2.9891956,3.1398041,3.0726087
50,50,Acephalous-Internet_2752_2842,"What's really bothersome, though, is when you only remember things from your distant past.",2.6,2.8,2.4,0.8,0.4,0.489897948556636,5,what's really bothersome  though  is when you only remember things from your distant past ,15,2.9178197,3.098076,3.0397196
51,51,Acephalous-Internet_2845_2974,"My grandpa was alert till the end, but when I last saw him at age 92 everything he wanted to talk about was 70 years in the past.",2.85714285714286,2.71428571428571,2.71428571428571,0.349927106111883,0.4517539514526261,0.4517539514526261,7,my grandpa was alert till the end  but when i last saw him at age 0 everything he wanted to talk about was 0 years in the past ,28,2.7235825,3.0492094,2.9832387
52,52,Acephalous-Internet_3039_3135,"A guess, but perhaps your grandfather's life at 22 was more interesting than the ensuing 70 yrs.",2.8,3.4,3.0,0.4,0.8,0.6324555320336761,5,a guess  but perhaps your grandfather's life at 0 was more interesting than the ensuing 0 yrs ,18,2.8769393,3.0335357,3.0322607
53,53,Acephalous-Internet_3201_3237,You know what makes this post great?,3.0,3.0,3.0,0.0,0.0,0.0,5,you know what makes this post great?,8,3.0878823,3.0661545,3.0960634
54,54,Acephalous-Internet_3238_3258,No stinking cricket.,3.4,3.6,2.6,0.489897948556636,0.489897948556636,0.489897948556636,5,no stinking cricket ,3,2.4720361,3.1627476,2.925536
55,55,Acephalous-Internet_3320_3487,"Yeah, I remember Sambito from the Astros (when the Braves were in the old NL West because it made sense to have a team 3,000 miles from most of their division rivals).",3.0,3.0,3.0,0.0,0.0,0.0,5,yeah  i remember sambito from the astros (when the braves were in the old nl west because it made sense to have a team 0 0 miles from most of their division rivals) ,35,3.0206454,3.02617,3.06138
56,56,Acephalous-Internet_3488_3514,Solid pitcher for a while.,3.0,3.0,3.0,0.0,0.0,0.0,5,solid pitcher for a while ,5,3.0978632,3.0305984,3.0910015
57,57,Acephalous-Internet_3515_3545,But burned out toward the end.,2.8,2.8,2.8,0.4,0.4,0.4,5,but burned out toward the end ,6,2.6855466,3.0354133,2.9737778
58,58,Acephalous-Internet_3546_3594,"Apparently, he is a player's representative now.",2.8,3.0,3.0,0.4,0.0,0.0,5,apparently  he is a player's representative now ,8,2.9850068,2.9781659,3.0592103
59,59,Acephalous-Internet_3653_3671,Prosthetic memory.,3.0,3.0,3.0,0.0,0.0,0.0,5,prosthetic memory ,2,3.0939696,3.0135217,3.0839825
60,60,Acephalous-Internet_3728_3829,I like to read about others watching baseball more than I like to watch baseball by a factor of nine.,2.8,3.0,3.2,0.4,0.0,0.4,5,i like to read about others watching baseball more than i like to watch baseball by a factor of nine ,20,3.1688378,3.049508,3.1143239
61,61,Acephalous-Internet_3830_3982,"Having given up on watching the actual sport, mention of baseball now only sparks memories of The Old Man and the Sea and the old time baseball writers.",2.6,3.0,3.2,0.8,0.0,0.4,5,having given up on watching the actual sport  mention of baseball now only sparks memories of the old man and the sea and the old time baseball writers ,28,3.2562668,3.0736933,3.1398196
62,62,Acephalous-Internet_3983_4198,"It is true that at the end of time, the old time baseball writers will be hailed as the very best writers, as they had access to an event that was susceptible to beautiful writing, but horrendous to watch in person.",3.2,3.2,3.0,0.4,0.4,0.0,5,it is true that at the end of time  the old time baseball writers will be hailed as the very best writers  as they had access to an event that was susceptible to beautiful writing  but horrendous to watch in person ,41,2.9677129,3.0784209,3.0535975
63,63,Acephalous-Internet_4199_4253,"Plus, they smoked a prodigious quantity of cigarettes.",3.2,3.0,3.0,0.4,0.0,0.0,5,plus  they smoked a prodigious quantity of cigarettes ,8,2.819808,3.1561608,3.031656
64,64,Acephalous-Internet_4256_4321,nota bene: An overdue library book is a crime against Humanities.,3.4,3.0,2.6,0.489897948556636,0.0,0.489897948556636,5,nota bene: an overdue library book is a crime against humanities ,12,3.1207905,3.0353267,3.1156485
65,65,Anti-Terrorist_4_65,The Anti-Terrorist - Undermining The Motivation For Terrorism,3.0,3.0,3.0,0.0,0.0,0.0,5,the anti-terrorist - undermining the motivation for terrorism,8,2.8367648,2.9611576,3.0111332
66,66,Anti-Terrorist_68_120,"By Rev. Bill McGinnis , Director - LoveAllPeople.org",2.5,3.0,3.3333333333333304,0.763762615825973,0.0,0.471404520791032,6,by rev  bill mcginnis   director - loveallpeople org,8,3.0921588,3.0207226,3.077201
67,67,Anti-Terrorist_123_233,"This website and everything on it is in the Public Domain, so you may use it freely, even without attribution.",3.0,3.2,3.0,0.0,0.4,0.0,5,this website and everything on it is in the public domain  so you may use it freely  even without attribution ,20,3.0950048,3.013267,3.0940795
68,68,Anti-Terrorist_239_270,"BACKGROUND , September 11, 2004",3.0,3.0,3.0,0.0,0.0,0.0,5,background   september 0  0,4,2.910045,3.0474582,3.0362875
69,69,Anti-Terrorist_272_408,"Three years have now gone by since the September 11th attacks in 2001, and terrorism is a far greater threat to us now than it was then.",3.0,2.8,3.0,0.0,0.4,0.0,5,three years have now gone by since the september 0th attacks in 0  and terrorism is a far greater threat to us now than it was then ,27,2.6620274,3.1101608,2.987143
70,70,Anti-Terrorist_409_531,"The number and severity of terrorist attacks worldwide has increased dramatically, as has the number of active terrorists.",3.2,3.2,2.4,0.4,0.4,0.8,5,the number and severity of terrorist attacks worldwide has increased dramatically  as has the number of active terrorists ,18,2.511529,3.1218517,2.933959
71,71,Anti-Terrorist_532_697,"Before 9/11, terrorism was confined to a small number of extremist individuals, loosely linked by radical Islam and hatred of Israel and its sole supporter, the USA.",3.2,3.2,2.8,0.4,0.4,0.4,5,before 0/0  terrorism was confined to a small number of extremist individuals  loosely linked by radical islam and hatred of israel and its sole supporter  the usa ,27,2.5516315,3.1185899,2.941249
72,72,Anti-Terrorist_698_837,"Now, many more moderate Muslims have become radicalized, world-wide, willing to kill innocent civilians in order to achieve their purposes.",3.0,2.8,2.8,0.0,0.4,0.4,5,now  many more moderate muslims have become radicalized  world-wide  willing to kill innocent civilians in order to achieve their purposes ,20,2.6848104,3.0972586,2.9876802
73,73,Anti-Terrorist_838_1024,"And the serious targets have expanded to include civilians in Russia, India, Maylasia, the Philippines, Spain, and elsewhere, as well as Israel and its sole supporter, the United States.",3.1666666666666696,2.6666666666666696,2.3333333333333304,0.6871842709362769,0.471404520791032,0.7453559924999301,6,and the serious targets have expanded to include civilians in russia  india  maylasia  the philippines  spain  and elsewhere  as well as israel and its sole supporter  the united states ,29,3.074846,3.0161362,3.0922146
74,74,Anti-Terrorist_1025_1135,"True, the USA has not suffered a successful major attack since 9/11, but this does not mean that we are safer.",3.2,2.8,2.8,0.4,0.4,0.4,5,true  the usa has not suffered a successful major attack since 0/0  but this does not mean that we are safer ,21,2.6114538,3.1377687,2.9699626
75,75,Anti-Terrorist_1136_1254,"The terrorists could strike any time they choose, through any of the numerous loopholes so well reported in our media.",3.2,3.2,2.8,0.4,0.4,0.4,5,the terrorists could strike any time they choose  through any of the numerous loopholes so well reported in our media ,20,2.923616,3.078011,3.0572004
76,76,Anti-Terrorist_1255_1425,"But they have chosen not to attack, perhaps because they are waiting to produce an effect even greater than the 9/11 attacks, so they do not appear to be losing strength.",3.2,3.0,2.6,0.4,0.0,0.8,5,but they have chosen not to attack  perhaps because they are waiting to produce an effect even greater than the 0/0 attacks  so they do not appear to be losing strength ,31,2.4213653,3.076058,2.9035938
77,77,Anti-Terrorist_1426_1479,What could be more spectacular than the 9/11 attacks?,3.0,3.6,2.6,0.6324555320336761,0.8,0.489897948556636,5,what could be more spectacular than the 0/0 attacks?,10,2.6926522,3.0763645,2.9725578
79,79,Anti-Terrorist_1489_1520,Or massive bio-chemical attack!,3.6,2.8,3.0,0.489897948556636,0.4,0.0,5,or massive bio-chemical attack ,4,2.5605726,3.1305377,2.9438226
80,80,Anti-Terrorist_1521_1567,And I think this is what they are waiting for.,3.2,3.4,3.4,0.4,0.489897948556636,0.489897948556636,5,and i think this is what they are waiting for ,10,2.952004,3.0811214,3.0604095
81,81,Anti-Terrorist_1568_1810,"All of our frantic preparations may have had some effect in preventing small-time casual attacks, but they cannot stop a serious planned attack, any more than a mere door lock can stop a serious robber who really wants to get into your house.",3.2,3.2,2.8,0.4,0.4,0.4,5,all of our frantic preparations may have had some effect in preventing small-time casual attacks  but they cannot stop a serious planned attack  any more than a mere door lock can stop a serious robber who really wants to get into your house ,44,2.6971464,3.1455061,2.9833744
82,82,Anti-Terrorist_1812_1901,"So the Bush administration can keep claiming that we are safer now, under their policies.",3.0,3.0,3.0,0.0,0.0,0.0,5,so the bush administration can keep claiming that we are safer now  under their policies ,15,2.9762774,3.0418801,3.057404
83,83,Anti-Terrorist_1902_1988,"But this claim is merely feel-good propaganda, intended to keep the neo-cons in power.",3.0,2.8,3.0,0.0,0.4,0.0,5,but this claim is merely feel-good propaganda  intended to keep the neo-cons in power ,14,2.6139903,3.070598,2.954204
84,84,Anti-Terrorist_1989_2031,It cannot withstand clear-headed scrutiny.,3.0,3.0,3.0,0.0,0.0,0.0,5,it cannot withstand clear-headed scrutiny ,6,2.5302715,3.0985758,2.9351661
85,85,Anti-Terrorist_2032_2130,"The fact is, Bush policies have failed completely even to diminish terrorism, much less defeat it.",3.0,2.6,2.4,0.0,0.8,0.8,5,the fact is  bush policies have failed completely even to diminish terrorism  much less defeat it ,16,2.5860963,3.0717573,2.9540365
